Year,Month,FlightDate,Reporting_Airline,Origin,OriginCityName,Dest,DestCityName,DepDelay,ArrDelay,Cancelled,Diverted,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2015,1,2015-01-26,DL,ATL,"Atlanta, GA",MEM,"Memphis, TN",0.0,4.0,0.0,0.0,332.0,,,,,
2015,1,2015-01-04,DL,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",-1.0,-1.0,0.0,0.0,1747.0,,,,,
2015,1,2015-01-01,DL,ATL,"Atlanta, GA",MCO,"Orlando, FL",-3.0,-6.0,0.0,0.0,404.0,,,,,
2015,1,2015-01-26,DL,ATL,"Atlanta, GA",DTW,"Detroit, MI",-1.0,-17.0,0.0,0.0,594.0,,,,,
2015,1,2015-01-04,DL,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",-1.0,-5.0,0.0,0.0,373.0,,,,,
2015,1,2015-01-16,DL,ATL,"Atlanta, GA",SAN,"San Diego, CA",2.0,-32.0,0.0,0.0,1892.0,,,,,
2015,1,2015-01-14,EV,GTR,"Columbus, MS",ATL,"Atlanta, GA",-5.0,-14.0,0.0,0.0,241.0,,,,,
2015,1,2015-01-04,EV,ATL,"Atlanta, GA",PHF,"Newport News/Williamsburg, VA",25.0,13.0,0.0,0.0,508.0,,,,,
2015,1,2015-01-30,DL,ATL,"Atlanta, GA",PNS,"Pensacola, FL",-1.0,-16.0,0.0,0.0,271.0,,,,,
2015,1,2015-01-17,WN,MDW,"Chicago, IL",ATL,"Atlanta, GA",-1.0,-25.0,0.0,0.0,591.0,,,,,
2015,1,2015-01-02,WN,PHL,"Philadelphia, PA",ATL,"Atlanta, GA",-7.0,2.0,0.0,0.0,666.0,,,,,
2015,1,2015-01-19,DL,PHL,"Philadelphia, PA",ATL,"Atlanta, GA",-3.0,-21.0,0.0,0.0,666.0,,,,,
2015,1,2015-01-15,DL,CLT,"Charlotte, NC",ATL,"Atlanta, GA",0.0,23.0,0.0,0.0,226.0,0.0,0.0,23.0,0.0,0.0
2015,1,2015-01-02,DL,SEA,"Seattle, WA",ATL,"Atlanta, GA",2.0,41.0,0.0,0.0,2182.0,0.0,0.0,41.0,0.0,0.0
